WKT,name,description
"POINT (96.0228707 16.8786391)",ဒဂုံဧရာအ‌ဝေး‌ပြေး,
"POINT (96.0257267 16.877481)",ဒဂုံဧရာအဝေး‌ပြေး,
"POINT (96.0309146 16.8751208)",သမကုန်းကားမှတ်တိုင်,
"POINT (96.0371436 16.8726477)",ဘီအိုစီ,
"POINT (96.0439798 16.872669)",စနေမ,
"POINT (96.0479072 16.8732968)",၅ထိပ်(မီးခွက်စျေး),
"POINT (96.05166299999999 16.8739825)",မီးခွက်ဈေး (အပေါ်ထိပ်) ကားမှတ်တိုင်,
"POINT (96.0578589 16.8750259)",တံတားဖြူ ကားမှတ်တိုင်,
"POINT (96.0630772 16.8758216)",ရုံးရှေ့ ကားမှတ်တိုင်,
"POINT (96.0715958 16.8771871)",၅ ထိပ် ကားမှတ်တိုင်,
"POINT (96.07597589999999 16.8778595)",၃ ထိပ် ကားမှတ်တိုင်,
"POINT (96.0790658 16.8784114)",၁ ထိပ် ကားမှတ်တိုင်,
"POINT (96.09596 16.884396)",အင်းစိန်ကမ်းနား,
"POINT (96.0978547 16.8845564)",ပေါက်တောဝ,
"POINT (96.09906570000001 16.8814965)",ညောင်ပင်,
"POINT (96.0997993 16.8792455)",မြို့သစ်စျေး,
"POINT (96.1018992 16.8749921)",ပိတောက်လမ်း,
"POINT (96.1043205 16.8717856)",အနောက်ကြို့ကုန်း,
"POINT (96.1068739 16.8644682)",ဘုရင့်နောင်ပွဲစျေးရုံ,
"POINT (96.1081133 16.861284)",ဓမ္မာရုံ,
"POINT (96.1085106 16.8584849)",ဘုရင့်နောင်လမ်းဆုံ,
"POINT (96.1158571 16.85739)",၅-၆မှတ်တိုင်,
"POINT (96.1233689 16.858169)",ဘုရားလမ်း,
"POINT (96.12386839999999 16.8550945)",အုတ်ကျင်း,
"POINT (96.12463679999999 16.85072)",ဘာတာ,
"POINT (96.1258903 16.8452748)",သံလမ်း,
"POINT (96.12700339999999 16.8404255)",သုခ,
"POINT (96.12770830000001 16.8371781)",ဘူတာရုံ,
"POINT (96.12851359999999 16.8344865)",ဆင်‌ရေတွင်း,
"POINT (96.1295208 16.8310149)",စံရိပ်ငြိမ်,
"POINT (96.13044289999999 16.8281365)",လှည်းတန်း,
"POINT (96.13299430000001 16.8183649)",စိုက်ပျိုးရေး,
"POINT (96.1348182 16.8120745)",ဟံသာဝတီ (ပြည်လမ်း),
"POINT (96.135824 16.8084653)",မဟာမြိုင်,
"POINT (96.13626020000001 16.8070082)",မြေနီကုန်း,
"POINT (96.1379623 16.8036828)",မြေနီကုန်း (ဘားကရာ),
"POINT (96.14731189999999 16.8062229)",လင့်လမ်း,
"POINT (96.1515445 16.8044435)",အုတ်လမ်း,
"POINT (96.1572454 16.7985043)",ဗဟန်း ၃လမ်း,
"POINT (96.159006 16.7946759)",တိရစ္ဆာန်ဥယျာဥ်ဝင်ပေါက်,
"POINT (96.1572613 16.7901857)",ကျောက်တိုင် (တိရစ္ဆာန်ဥယျာဥ်),တိရစ္ဆာန်ဥယျာဥ်သို့ရောက်ရန် လမ်း‌အတော်လျောက်ရသည်။
"POINT (96.1589527 16.7824167)",ယောက်လမ်း,
"POINT (96.1592481 16.7856748)",ဖဆပလ ,
"POINT (96.1587703 16.7776916)",ဘားလမ်း,
"POINT (96.158958 16.7759884)",ဆူးလေ,
"POINT (96.16469 16.7690911)",ဘိုကလေးစျေး,
"POINT (96.1671039 16.7690217)",ဗဟိုရုံး,
"POINT (96.17206870000001 16.7695585)",ဗိုလ်တထောင်ဘုရား,
