WKT,name,description
"POINT (96.148887 16.7746339)",လသာ,
"POINT (96.1515632 16.7745663)",မောင်ခိုင်,
"POINT (96.1543313 16.7744816)",သိမ်ကြီးစျေး,
"POINT (96.1548569 16.7770492)",ကုန်စျေးတန်း,
"POINT (96.1533603 16.7777518)",လေဟာပြင်စျေး,
"POINT (96.15349599999999 16.7841759)",ဆောက်လုပ်ရေး,
"POINT (96.1521644 16.7901963)",ဆက်သွယ်ရေးမှတ်တိုင်,
"POINT (96.1510697 16.7937206)",ရွှေတိဂုံဘုရားတောင်ဘက်မုဒ်,
"POINT (96.1572454 16.7985043)",ဗဟန်း ၃လမ်း,
"POINT (96.1581528 16.8009259)",ရေခဲဆိုင်,ကားရပ်နားခြင်းမရှိတော့ပါ။
"POINT (96.1619018 16.8010653)",ဂျမား,
"POINT (96.1650766 16.8001612)",ကျောင်းရှေ့,
"POINT (96.1676443 16.8001643)",ဖိုးစိန်လမ်း,
"POINT (96.1703496 16.799383)",မျက်စိဆေးရုံ,
"POINT (96.1706737 16.797297)",ဘီအိုစီ,
"POINT (96.1751721 16.7912786)",မင်္ဂလာစျေး ကားမှတ်တိုင်,
"POINT (96.1838864 16.7825813)",ဝါဆို,
"POINT (96.1885156 16.781463)",ဒေါပုံသင်္ဘောကျင်း,
"POINT (96.1893093 16.7844059)",ရန်အောင် မှတ်တိုင်,
"POINT (96.191962 16.7897335)",ဝက်စု,
"POINT (96.1947416 16.7884591)",ရန်ပြေ,
"POINT (96.1978977 16.7870599)",မာန်ပြေ,
"POINT (96.1997641 16.7863611)",ဆီဆိုင်,
"POINT (96.2010566 16.7891122)",စာတိုက်(သာကေတ),
"POINT (96.2020965 16.7911923)",နယ်မြေရုံး,
"POINT (96.2038153 16.7947201)",ရုပ်ရှင်ရုံ,
"POINT (96.2046424 16.7965546)",ကျန်းမာရေး,
"POINT (96.2061365 16.7981648)",၇စျေး,
"POINT (96.2084664 16.7973351)",ဂိတ်ဟောင်း,
"POINT (96.2099086 16.7968065)",ဝေဇယန္တာ,
"POINT (96.2137091 16.7955522)",အရက်ဆိုင်ကွေ့,
"POINT (96.2151514 16.7987318)",ခိုင်ရွှေဝါ,
"POINT (96.2166302 16.8023352)",ဓမ္မာရုံလမ်း,
"POINT (96.2180047 16.8055348)",သာကေတအဝိုင်း,
"POINT (96.220315 16.8082911)",၁၀စျေး,
"POINT (96.2241356 16.8102082)",၃၄ကားကြီးဂိတ်,
"POINT (96.2300235 16.8126936)",ဘုရားလေးကွေ့မှတ်တိုင်(မင်းစတိုး),
"POINT (96.2321056 16.8119992)",ကွေ့မ မှတ်တိုင်,
"POINT (96.2347559 16.8126602)",67ရပ်ကွက်ဒုဌဝတီမှတ်တိုင်,
"POINT (96.23649549999999 16.8146943)",သစ်ဆိပ်,
"POINT (96.2380714 16.8197074)",စာဥ,
"POINT (96.2407685 16.8282806)",ဆောက်လုပ်ရေး,
"POINT (96.2425403 16.8344659)",၆၅ရပ်ကွက်,
"POINT (96.2438513 16.8386492)",သိမ်ချောင်းလမ်းဆုံ,
"POINT (96.2447401 16.8411521)",အင်းဝအိမ်ရာ,
"POINT (96.2451693 16.8427098)",အထူးဂိတ်,
"POINT (96.2466795 16.8475345)",ပွိုင့်ထိပ်မှတ်တိုင်,
"POINT (96.2511493 16.8465227)",ရတနာလမ်း,
"POINT (96.2587149 16.8476994)",မြနန္ဒာ,
"POINT (96.2632746 16.8467591)",ကြိုဆိုရေး,
"POINT (96.2688163 16.8452064)",မြေနီလမ်း,
"POINT (96.2756639 16.8433702)",ကျောက်လမ်း,
"POINT (96.2796692 16.8421912)",၈/၉ လမ်းဆုံ,
"POINT (96.2811065 16.8465585)",ဘုရားလေး,
"POINT (96.2822865 16.8493282)",ကနောင်အိမ်ရာ,
"POINT (96.2830122 16.8516512)",ကနောင်ကွေ့,
"POINT (96.2821848 16.85558649999999)",စက်ရုံကွေ့ မှတ်တိုင်,
"POINT (96.2810829 16.8597892)",ကျောင်းရှေ့,
"POINT (96.2806989 16.8619067)",၈၉ဂိတ်ဟောင်း,
"POINT (96.2800931 16.8648953)",YBS 5 ဂိတ်,
"POINT (96.279502 16.8747714)",၁၆၈ရပ်ကွက်,
"POINT (96.28947199999999 16.872633)",YBS 8,
